DOJ Extended,Duration to accept offer,Notice period,Offered band,Percent difference CTC,Joining Bonus,Candidate relocate actual,Candidate Source,Rex in Yrs,LOB,Status
0,0,30,3,40.82,0,0,1,10,4,0
0,126,30,1,6.98,0,0,0,5,4,1
0,2,30,1,36.07,0,0,0,5,4,0
0,4,30,1,95.23,0,0,1,3,4,0
1,0,30,2,7.28,0,0,0,8,3,0
1,10,30,1,0.0,0,0,2,5,5,0
0,0,30,1,1.75,0,0,1,1,7,0
0,0,0,1,5.56,0,0,1,1,7,0
1,0,0,1,5.56,0,0,1,1,7,0
0,16,30,1,30.46,0,0,1,1,4,0
1,106,90,2,11.58,0,0,1,7,1,1
1,90,45,3,101.5,0,0,1,10,4,0
1,14,30,1,0.0,0,0,1,2,7,0
1,3,30,2,6.39,0,0,1,5,7,0
0,4,30,1,0.0,0,0,1,2,7,1
0,0,30,1,0.0,0,0,1,0,5,0
0,6,30,1,7.15,0,0,0,3,4,0
1,21,30,1,0.0,0,0,1,1,7,0
0,36,30,1,16.66,0,0,1,1,4,0
0,17,30,1,100.0,0,0,1,1,4,0
0,0,30,1,37.5,0,0,1,2,4,0
1,34,30,1,0.0,0,0,1,2,4,0
0,34,30,1,32.81,0,0,1,3,4,0
0,0,30,2,0.0,0,0,1,3,7,0
1,20,30,2,13.44,0,0,0,7,3,1
0,13,30,1,0.0,0,0,0,3,4,0
0,2,30,2,18.58,0,0,0,7,4,0
1,20,30,2,0.99,0,0,0,11,4,1
0,1,30,1,0.0,0,0,1,1,7,0
1,6,30,1,41.25,0,0,0,1,4,0
1,8,60,2,6.66,0,0,1,7,4,0
1,42,45,2,0.0,0,0,2,4,0,0
1,12,60,1,0.0,0,0,1,2,4,0
1,16,90,2,11.11,0,0,0,9,4,0
1,14,60,3,11.43,0,0,2,4,7,0
1,103,45,2,0.0,0,0,1,6,5,0
1,69,45,2,0.0,0,0,1,9,5,0
1,37,30,2,25.0,0,0,1,6,5,1
0,7,30,2,30.0,0,0,0,4,7,0
0,2,60,2,13.25,0,0,2,6,1,1
1,38,45,2,0.0,0,0,2,3,7,0
1,43,60,1,3.92,0,0,1,3,3,1
1,60,60,2,27.78,0,0,1,6,5,1
0,3,30,2,0.0,0,0,1,5,7,0
1,32,30,2,25.64,0,1,0,7,5,0
1,23,45,2,9.43,0,0,0,8,4,0
1,67,60,3,7.68,0,0,0,6,7,0
0,5,30,0,37.78,0,0,1,1,4,0
0,42,60,2,0.0,0,0,2,4,7,0
0,8,30,1,30.0,0,0,2,7,4,0
0,7,30,2,0.0,0,0,0,7,7,1
1,5,30,1,58.33,0,0,0,3,4,0
0,10,30,3,4.61,0,0,0,13,7,0
0,5,30,1,15.15,0,0,1,1,4,0
0,5,30,1,18.93,0,0,1,2,4,0
0,12,30,2,0.0,0,0,2,4,7,0
0,15,0,3,0.0,0,1,2,11,4,0
1,45,60,2,6.25,0,0,1,7,1,1
0,10,30,1,0.0,0,0,1,1,4,0
1,7,30,2,8.55,0,0,0,4,7,0
1,7,30,1,7.81,0,0,2,7,4,0
1,36,30,1,58.33,0,0,0,3,4,1
0,2,30,2,14.0,0,0,1,7,7,0
0,1,0,1,7.78,0,0,2,5,4,0
1,25,30,2,5.19,0,0,1,5,7,0
0,6,30,2,25.37,0,0,0,6,4,0
1,47,60,3,5.21,0,0,0,10,7,0
1,21,30,3,6.25,0,0,2,16,7,1
1,11,30,2,50.0,0,0,0,4,7,0
0,4,30,1,0.0,0,0,2,1,7,0
0,7,30,1,200.0,0,0,1,1,7,0
0,5,30,1,35.72,0,0,1,6,6,0
0,4,30,2,0.0,0,0,0,5,7,0
0,5,30,2,0.0,0,0,2,9,7,0
0,11,30,1,85.47,0,0,1,3,4,0
0,1,30,2,0.0,0,0,1,8,7,0
0,2,30,1,7.42,0,0,0,5,4,0
1,48,30,3,50.0,0,0,1,7,7,0
1,74,90,1,38.63,0,1,1,8,4,0
1,4,30,2,0.0,0,0,1,6,3,0
0,3,30,3,0.0,0,0,1,13,7,0
0,31,30,1,17.15,0,1,2,3,4,0
0,15,45,1,4.47,0,0,1,4,4,1
1,30,30,2,14.29,0,0,1,5,7,0
0,1,30,1,27.89,0,0,1,2,7,0
1,8,30,2,18.05,0,0,1,5,7,0
0,3,45,1,0.0,0,0,1,3,2,0
0,0,30,3,28.57,0,0,2,13,1,0
0,1,60,1,8.77,0,0,2,1,4,0
0,44,30,2,15.38,0,0,0,7,1,0
0,19,60,3,22.73,0,0,1,10,4,1
0,3,30,2,0.32,0,0,2,9,4,1
0,40,30,1,0.0,0,0,0,3,1,0
0,11,30,1,0.0,0,0,2,3,2,1
0,1,30,2,13.33,0,0,1,6,0,0
1,20,30,1,21.43,0,0,2,3,4,0
0,1,30,1,0.0,0,0,2,3,7,0
1,7,30,1,0.0,0,0,2,4,7,0
1,15,30,2,4.42,0,0,0,9,4,0
0,35,30,1,45.05,0,0,1,3,4,0
0,17,30,1,41.66,0,0,0,4,4,0
1,58,30,3,0.0,0,0,0,10,4,0
1,29,60,2,233.34,0,0,0,9,4,1
1,69,90,2,0.0,0,0,1,3,7,0
1,6,90,2,0.0,0,0,2,7,1,0
0,0,30,2,5.0,0,0,1,6,7,0
1,1,30,3,0.0,0,0,2,10,7,0
0,7,90,2,7.19,0,0,0,7,1,0
0,0,30,2,0.0,0,0,0,4,7,0
1,7,30,2,0.0,0,0,1,5,1,1
0,1,30,1,12.5,0,0,2,1,7,0
1,17,30,1,7.69,0,0,2,2,4,0
0,86,30,1,0.0,0,0,1,3,1,0
1,51,90,2,0.0,0,0,0,6,7,0
1,29,45,3,5.48,0,0,2,5,7,0
1,1,30,2,2.5,0,0,2,3,7,0
1,26,30,2,0.0,0,0,2,8,7,0
1,0,30,2,0.0,0,0,1,10,3,0
0,50,60,2,0.0,0,1,2,5,7,0
1,39,30,1,29.54,0,0,0,5,4,0
1,57,60,2,9.62,0,0,2,7,7,0
0,0,30,2,0.0,0,0,2,4,7,0
0,10,30,2,0.0,0,0,2,4,7,0
1,0,30,1,0.0,0,0,0,1,7,0
0,3,90,1,0.0,0,0,1,4,1,0
0,5,60,2,2.44,0,0,2,12,7,0
1,32,30,2,57.15,0,0,1,4,7,0
1,93,90,2,11.11,0,1,2,3,7,0
1,30,30,1,3.27,0,0,0,3,4,0
1,55,30,1,12.5,0,1,2,3,7,0
0,39,45,3,203.34,0,0,0,9,4,1
0,12,30,1,19.7,0,1,2,6,1,0
0,3,30,2,5.26,0,0,1,7,4,0
0,3,30,1,23.81,0,0,0,3,4,0
0,23,30,1,52.08,0,1,0,2,4,0
0,11,60,2,11.31,0,0,1,6,4,0
0,0,30,2,0.0,0,0,1,9,0,1
1,3,60,3,10.0,0,0,1,8,7,1
0,1,30,2,5.88,0,0,2,6,0,0
1,71,60,3,0.0,0,0,2,6,7,0
1,40,60,2,17.85,0,0,1,7,1,0
0,4,45,2,19.24,0,0,1,7,1,1
1,5,45,1,18.75,1,0,1,2,4,1
0,56,90,2,11.08,0,0,0,8,1,0
0,1,30,2,8.33,0,0,1,3,7,0
1,2,60,2,0.0,0,0,1,8,7,0
1,15,60,3,0.0,0,0,2,5,7,0
1,37,30,1,56.18,0,0,0,3,4,1
1,6,30,3,3.85,0,0,2,5,7,0
0,0,30,2,23.64,0,0,1,6,7,1
0,40,30,1,29.41,0,0,1,4,0,0
0,18,30,1,0.0,0,0,1,2,4,0
0,12,30,1,94.59,0,0,2,2,4,0
1,1,60,1,34.0,0,0,0,4,4,0
1,5,30,3,0.0,0,0,2,9,7,0
1,15,30,1,0.0,0,0,2,2,7,0
1,39,90,2,0.0,0,0,0,6,4,1
1,1,30,1,3.11,0,0,2,1,7,0
0,12,30,2,14.82,1,1,0,4,4,0
0,18,60,2,6.06,1,0,1,8,5,0
0,7,30,1,3.57,0,0,2,2,4,0
1,24,30,1,5.56,0,0,2,6,4,0
0,4,30,1,0.0,0,0,0,4,7,0
1,66,60,3,3.85,0,0,2,13,4,0
1,4,30,1,18.97,0,0,1,1,4,0
0,3,30,1,26.4,0,0,2,3,1,0
1,21,30,1,106.06,0,0,0,5,4,0
1,68,30,2,44.44,0,1,1,3,7,0
1,3,30,3,4.15,0,1,0,12,1,0
1,62,30,1,5.99,0,0,2,4,4,1
1,15,30,2,0.0,0,1,2,5,7,0
1,31,30,1,30.47,0,0,1,2,4,0
1,84,45,2,0.0,0,0,1,5,7,0
0,42,30,1,48.5,0,0,0,3,1,0
0,17,60,3,200.0,0,0,1,8,7,1
0,0,90,3,0.0,0,0,1,13,4,0
0,10,30,1,0.0,0,0,2,2,7,0
1,8,30,2,0.0,0,0,0,6,4,0
1,55,60,3,0.0,0,0,2,6,7,0
1,25,30,2,0.0,0,1,2,4,7,0
1,10,30,1,7.78,0,0,2,2,4,0
0,3,30,1,22.23,0,1,0,1,4,0
1,1,30,1,27.66,0,0,0,3,4,1
1,50,30,1,0.0,0,0,0,8,6,0
0,2,45,2,6.87,0,0,0,7,1,1
0,28,30,2,0.0,0,1,2,7,7,0
1,26,30,1,35.32,0,1,0,3,1,0
1,40,60,1,2.5,0,0,1,4,2,1
1,26,30,2,0.0,0,0,2,6,7,0
0,13,60,1,10.88,0,0,0,2,2,0
0,1,30,1,44.15,0,0,0,3,4,1
0,3,30,1,137.5,0,0,0,9,4,0
1,3,30,1,3.22,0,0,0,1,4,0
1,5,30,1,114.94,0,0,1,3,4,0
1,7,30,1,0.0,0,0,0,2,4,0
1,9,30,2,16.66,0,0,1,10,4,1
1,40,30,3,2.17,0,0,1,13,6,0
0,1,30,1,11.12,0,0,2,1,4,0
0,28,60,1,126.08,0,0,0,3,1,1
1,64,60,2,0.0,0,0,2,7,7,0
1,107,30,1,2.56,0,0,1,4,4,1
1,27,30,3,0.0,0,1,2,8,7,0
1,29,30,2,0.0,0,1,2,4,7,0
0,0,30,1,0.0,0,0,2,4,1,0
1,14,30,1,20.84,0,0,1,3,2,1
1,4,30,1,0.0,0,0,2,2,7,0
1,78,90,2,0.0,0,0,1,8,1,0
0,0,30,2,100.0,0,0,1,2,7,1
1,4,30,2,13.7,1,0,0,6,4,0
0,30,30,1,27.89,0,0,0,1,7,0
0,32,45,1,3.95,0,1,0,4,4,0
1,39,30,1,33.34,0,0,1,1,7,0
1,58,30,1,33.34,0,0,1,1,7,0
1,33,30,2,0.0,0,1,2,3,7,0
0,14,30,1,0.0,0,0,1,3,6,0
0,16,30,2,26.67,0,0,1,5,7,0
1,29,30,2,0.6,0,0,2,8,2,0
1,20,60,2,0.0,0,0,0,4,7,0
1,26,45,1,0.0,1,0,0,2,4,0
1,28,30,2,0.0,0,1,2,9,7,0
1,22,60,2,0.0,0,0,2,2,7,0
1,4,30,1,51.25,0,1,0,2,2,0
1,8,30,2,0.0,0,0,1,8,7,0
1,49,30,2,65.79,0,0,1,5,0,1
1,0,30,1,12.03,0,0,1,3,7,0
1,1,30,2,0.0,0,0,1,11,6,0
1,37,60,1,11.12,0,0,2,3,5,0
0,0,30,2,20.0,0,0,2,2,7,0
0,2,30,2,16.67,0,0,2,1,7,0
1,92,90,1,6.17,0,0,1,6,0,0
0,1,0,1,13.6,0,0,2,2,4,0
0,6,60,2,0.0,0,0,0,7,6,1
1,1,30,2,0.0,0,0,0,3,7,0
1,9,30,2,0.0,0,0,0,2,7,0
1,3,30,3,28.57,0,0,2,7,7,0
1,24,30,1,0.0,0,0,2,1,7,0
1,3,30,1,0.0,0,0,2,2,7,0
0,9,30,1,0.0,0,0,2,1,7,0
1,34,60,3,1.16,1,1,1,5,7,0
0,0,0,2,233.34,0,0,1,8,7,1
1,39,30,1,17.77,0,0,1,2,7,0
1,15,30,2,0.0,0,0,2,1,7,0
0,3,30,1,5.93,0,0,1,2,7,0
1,4,0,2,0.0,0,0,2,7,7,0
1,9,30,3,0.0,0,0,1,15,7,0
1,14,30,1,27.03,0,0,0,4,2,0
0,4,30,2,11.11,0,0,1,2,7,0
0,42,30,1,81.97,0,0,2,3,4,0
0,61,30,3,139.44,0,0,1,8,7,0
0,61,30,2,50.0,0,0,1,2,7,1
1,23,90,2,7.7,0,0,2,6,4,0
0,0,30,1,0.0,0,0,1,2,4,0
1,79,90,2,7.0,0,0,1,7,5,0
0,34,30,1,100.0,0,0,0,3,2,1
0,17,0,1,0.0,0,0,0,2,7,1
1,8,30,1,22.22,0,0,1,4,2,0
0,64,30,1,90.0,0,1,1,1,4,0
0,3,0,1,8.33,0,0,1,4,5,0
1,20,30,1,51.43,0,0,1,3,2,0
0,33,30,1,56.95,0,0,1,4,2,0
1,46,30,1,24.44,0,0,1,3,2,0
1,77,30,1,2.0,0,0,1,3,2,1
0,14,30,1,6.22,1,1,0,4,4,0
0,0,0,1,9.52,1,1,1,4,4,0
1,21,90,2,0.0,1,0,1,8,4,1
0,16,0,1,222.92,0,0,2,7,0,0
1,20,30,1,0.0,0,0,1,3,2,0
0,11,30,1,214.29,1,1,0,3,0,0
1,9,30,2,6.95,0,1,1,7,6,0
1,23,60,1,12.76,1,1,2,4,4,0
1,27,0,2,4.48,0,0,2,7,4,0
1,24,30,1,18.19,0,0,1,2,7,0
1,34,30,1,23.14,1,0,0,4,4,0
1,22,30,1,29.44,0,0,0,3,7,0
1,14,0,1,54.54,0,0,2,1,4,0
1,37,30,1,0.0,0,0,1,4,5,0
1,4,0,1,47.62,0,0,2,3,1,0
1,20,0,2,4.03,1,0,2,9,3,0
0,4,30,3,209.38,0,0,1,8,7,1
1,23,30,2,9.95,1,0,2,6,4,0
1,12,60,2,10.71,0,0,1,7,0,0
0,28,60,3,0.0,0,0,2,10,4,0
1,11,60,1,6.9,1,1,1,4,4,0
0,6,0,1,6.89,1,0,0,3,4,1
1,30,0,1,78.12,0,0,1,1,4,0
0,4,0,1,0.0,0,0,2,5,4,0
1,3,30,1,0.0,0,0,1,1,4,0
1,0,60,1,19.56,0,0,1,4,1,0
0,15,0,1,81.97,0,1,0,3,4,0
0,5,0,1,7.56,0,0,0,2,4,0
0,7,0,2,15.84,0,0,2,6,7,0
1,0,0,2,0.0,1,0,2,8,5,0
1,27,30,1,25.0,0,1,1,12,0,0
1,3,30,1,0.0,0,1,0,2,4,0
0,13,0,1,29.35,0,0,0,2,4,0
0,4,0,1,18.24,0,0,0,2,4,1
1,10,0,1,12.5,0,0,0,1,4,0
0,7,30,1,13.89,0,1,0,1,4,0
0,20,0,1,0.0,0,0,0,1,4,0
0,10,30,1,57.29,0,1,1,2,4,0
1,3,0,2,18.75,0,0,2,9,4,0
0,6,0,2,12.5,0,0,0,5,4,1
1,2,30,2,16.0,0,0,2,9,4,0
0,1,30,2,17.33,0,0,2,3,7,0
1,4,0,1,0.0,0,0,2,6,7,0
1,6,60,2,15.43,1,0,2,7,4,0
0,1,0,1,0.0,0,0,2,2,7,0
0,2,30,3,0.0,1,1,1,15,4,0
1,79,90,2,21.05,1,0,1,9,4,0
1,67,60,2,0.0,0,0,0,5,1,0
0,1,45,2,8.72,0,0,1,6,1,1
0,8,30,1,8.33,0,0,0,3,4,0
1,108,60,2,9.62,0,0,0,6,1,1
0,5,0,1,33.34,0,0,2,3,7,0
0,40,60,3,0.0,0,0,1,12,7,0
0,0,0,2,0.0,0,1,1,9,7,0
0,0,0,2,0.0,0,1,1,11,7,0
0,2,0,2,10.0,0,1,1,5,7,0
0,6,0,3,10.85,1,0,1,10,7,0
1,37,90,1,21.14,0,0,1,4,1,0
0,3,60,1,20.0,0,0,2,2,2,0
1,28,30,1,0.0,0,0,2,3,5,0
0,1,30,1,0.0,0,1,1,2,7,0
1,6,30,2,0.0,0,0,1,5,7,0
0,6,45,1,0.0,1,0,2,3,5,1
1,38,30,1,0.0,0,0,1,4,2,0
0,1,60,1,17.77,0,0,2,4,2,0
0,6,90,3,0.0,0,0,1,5,7,0
1,70,60,1,4.71,0,0,1,4,7,0
1,13,30,1,0.0,0,0,1,1,7,0
1,42,60,2,1.62,0,1,0,3,7,0
1,68,75,2,2.4,0,0,2,7,7,0
1,62,60,2,0.0,0,0,2,2,7,0
0,2,30,1,0.0,0,0,2,2,7,0
1,82,90,3,11.08,0,0,1,8,7,0
0,3,30,1,0.0,0,0,1,4,4,0
0,38,60,1,8.89,0,0,2,4,4,0
1,10,60,1,0.0,0,0,1,3,5,0
1,1,0,2,0.0,0,0,2,3,7,1
1,13,30,1,0.0,0,0,1,4,6,0
0,0,30,2,29.17,0,1,2,2,7,0
0,4,30,1,41.38,0,0,1,3,2,0
0,0,0,2,14.59,0,0,1,5,7,0
0,0,30,1,0.0,0,1,1,2,7,0
0,62,30,1,4.44,0,0,1,4,2,0
0,0,30,1,0.0,0,0,1,3,2,0
1,1,60,1,16.66,0,0,1,5,4,0
0,16,30,2,0.0,0,0,2,3,7,0
0,1,90,2,0.0,0,0,2,7,7,0
1,2,0,2,19.61,0,0,2,3,7,0
0,1,90,2,25.82,0,0,1,3,7,0
0,2,0,1,16.67,0,0,2,4,1,0
0,32,45,3,0.0,0,0,1,6,7,1
0,1,30,2,17.86,0,1,1,4,7,0
0,3,60,2,9.73,0,0,1,4,7,0
0,11,30,1,16.8,0,0,1,5,5,0
0,0,30,3,3.79,0,0,1,12,7,0
1,62,75,2,8.99,0,1,2,7,2,0
1,6,45,2,0.0,0,0,1,12,7,1
1,6,30,1,10.0,0,0,1,4,2,0
0,3,30,2,6.45,0,0,1,8,7,0
0,1,30,2,0.0,0,0,1,4,7,0
1,17,30,1,56.66,0,0,1,2,2,0
0,1,60,2,0.0,0,0,2,6,6,0
0,1,0,1,20.12,0,1,0,3,5,0
0,0,90,3,0.0,0,0,1,7,7,0
0,210,30,2,33.34,0,0,1,5,7,1
1,6,30,2,0.0,0,0,1,5,7,0
1,27,30,1,0.0,0,0,2,3,2,0
0,0,0,2,12.5,0,1,1,6,7,0
0,2,90,1,0.0,0,0,1,3,7,0
0,29,90,1,33.34,0,0,1,5,4,0
0,1,0,1,0.0,0,1,1,2,7,0
1,62,60,1,16.67,0,0,2,3,1,0
0,1,30,1,16.66,0,0,0,2,7,0
1,80,90,3,0.0,0,0,1,10,5,0
1,0,30,1,0.0,0,0,1,3,2,0
1,17,60,2,144.45,0,0,1,6,4,0
1,78,30,2,2.13,0,0,1,6,3,1
0,2,0,2,0.74,0,0,1,6,2,0
0,17,30,3,0.0,0,0,1,10,4,0
0,58,30,2,0.0,0,0,1,7,7,0
0,0,0,2,15.42,0,1,1,7,7,0
1,97,120,1,0.0,0,0,1,3,4,0
1,41,45,1,16.0,0,1,1,5,0,0
1,9,30,1,0.0,0,0,1,2,6,1
1,1,30,1,0.0,0,0,1,4,5,0
0,4,60,1,3.84,1,0,1,4,5,0
0,59,30,1,14.28,0,0,1,4,1,1
0,57,30,1,16.66,0,0,2,4,1,0
0,1,30,2,0.0,0,0,1,6,7,1
1,53,60,1,0.0,0,0,1,6,5,1
0,1,30,2,0.0,0,0,2,7,7,0
0,1,0,1,0.0,0,0,2,2,7,0
0,1,45,2,51.55,0,0,1,0,7,1
0,1,0,2,0.0,0,1,2,6,7,0
0,18,30,1,0.0,0,0,1,4,4,0
1,6,60,2,22.5,0,0,2,7,3,0
0,12,30,1,0.0,0,0,2,4,5,0
1,1,0,1,66.66,0,1,0,4,5,0
0,0,0,2,0.0,0,1,1,3,7,0
0,2,0,1,12.5,0,0,0,2,7,0
1,2,30,2,22.86,0,0,1,4,7,0
1,7,30,1,40.82,0,0,1,2,7,1
0,0,0,2,23.01,1,0,2,5,7,1
1,28,45,2,0.0,0,1,1,4,7,0
1,3,0,1,4.16,0,0,2,2,4,0
0,16,60,2,33.67,0,0,2,4,7,0
0,3,30,1,1.82,0,0,2,3,2,0
0,31,30,1,0.0,0,0,1,4,1,0
0,17,75,2,7.46,0,0,1,7,3,1
0,2,30,1,89.59,0,1,1,4,4,0
0,27,30,1,0.0,0,0,2,3,1,0
1,32,45,2,14.35,0,0,1,5,7,0
1,49,30,2,12.5,0,0,2,12,4,0
0,23,45,1,7.5,0,0,1,3,5,0
1,2,30,1,7.7,0,0,1,5,2,1
0,0,30,1,0.0,0,1,1,4,4,0
0,0,30,2,42.85,0,1,1,6,7,0
0,3,30,1,5.42,0,0,1,5,1,0
1,41,90,1,0.0,0,0,2,5,1,0
1,5,30,1,15.0,0,0,2,1,7,0
0,2,0,3,0.0,0,1,1,8,7,0
0,0,60,2,23.59,0,0,1,4,7,0
1,37,45,1,0.0,0,0,1,3,0,0
1,42,60,2,14.29,0,0,1,5,5,0
1,64,60,2,0.0,0,0,2,6,7,0
1,88,60,1,28.21,0,0,2,2,4,0
1,1,45,1,5.45,0,1,1,4,4,0
0,66,75,2,26.67,0,1,2,3,7,0
1,90,90,2,0.0,0,0,1,6,5,0
1,53,60,2,25.0,0,1,1,4,7,0
1,12,30,1,0.0,0,1,1,1,4,0
0,10,30,2,10.53,1,1,2,6,4,0
0,5,45,2,6.8,0,0,2,2,7,0
1,3,75,3,0.0,0,1,2,8,7,0
0,1,45,2,6.67,0,0,1,7,7,0
0,4,45,1,0.0,0,0,1,6,4,1
1,50,30,1,10.0,0,0,1,4,2,0
1,15,30,2,0.0,0,0,1,6,4,0
0,5,30,3,15.88,0,1,2,6,7,0
0,0,0,2,0.0,0,0,1,4,7,0
1,70,75,3,0.28,0,0,1,8,7,0
1,42,30,2,100.0,0,0,2,4,7,0
1,3,60,2,32.05,0,0,2,4,7,0
0,1,0,3,5.02,0,0,1,8,7,0
1,27,30,3,0.0,0,1,1,5,7,0
1,15,30,1,18.0,0,0,1,2,7,0
0,0,0,1,13.33,0,0,2,2,7,0
0,0,0,1,22.67,0,0,2,2,7,0
0,27,30,2,0.0,0,1,1,5,7,0
0,20,60,3,13.64,0,0,2,5,7,0
0,20,30,1,0.0,0,1,1,4,4,0
0,0,0,2,0.0,0,0,2,3,7,0
1,1,0,2,10.0,0,1,1,8,4,0
1,16,30,3,0.0,0,0,1,7,7,0
1,38,60,3,0.0,0,1,1,8,7,0
0,1,0,2,0.0,0,1,1,5,7,0
1,4,30,1,1.11,0,0,0,2,4,0
1,31,45,1,11.63,0,0,2,4,2,0
1,4,30,1,18.71,0,1,1,2,4,0
0,4,45,3,0.0,0,0,2,13,7,0
0,26,30,2,17.39,1,0,2,13,4,0
1,49,60,2,11.11,0,0,1,7,4,0
1,6,0,2,0.0,0,1,2,3,7,0
0,50,60,3,16.67,0,0,1,8,5,0
1,14,60,2,4.7,0,1,1,4,7,0
1,3,0,2,19.45,0,1,1,7,4,0
0,1,60,2,0.0,0,0,1,3,7,0
1,5,30,1,22.73,0,0,2,1,7,1
1,13,60,2,13.89,0,0,1,3,7,0
1,36,30,2,0.0,0,0,2,12,7,0
1,5,45,1,0.0,0,0,0,2,4,0
0,34,45,1,14.29,0,0,1,5,4,0
1,13,30,2,12.5,0,1,1,4,7,0
0,2,30,2,50.0,0,1,1,5,7,0
0,3,0,0,0.0,0,0,1,0,2,0
0,4,0,0,0.0,0,0,1,0,2,0
0,4,0,0,0.0,0,0,1,0,2,0
0,4,0,0,0.0,0,0,1,0,2,0
0,0,0,3,0.0,0,0,1,7,7,0
0,0,0,3,18.9,0,0,2,8,7,0
1,18,45,1,4.44,0,0,0,4,4,0
0,19,60,2,0.0,0,0,1,6,7,1
1,30,60,2,0.0,1,0,1,7,5,0
1,2,60,2,0.0,0,0,1,5,7,0
1,99,60,2,0.0,0,0,2,3,7,0
0,1,0,2,20.0,0,1,1,4,7,0
0,4,30,2,0.0,0,1,2,7,7,0
0,11,30,1,19.23,0,1,1,3,4,0
1,0,30,2,49.47,0,0,2,2,7,0
1,23,120,1,20.32,0,0,1,4,4,1
0,1,0,1,40.0,0,0,0,2,7,0
1,15,30,2,0.0,0,0,2,4,7,0
1,6,45,1,33.33,0,0,0,2,4,0
0,18,30,2,0.0,0,0,2,6,1,0
1,44,60,2,7.15,0,0,2,5,7,0
0,4,0,3,0.0,0,0,1,10,7,0
1,60,120,2,3.53,0,0,1,6,7,1
0,60,60,2,42.23,0,0,1,8,7,0
1,34,30,1,5.0,0,1,2,4,5,0
0,4,0,2,0.0,0,1,1,5,7,0
0,0,90,2,4.43,0,0,2,5,7,0
1,63,75,1,12.62,0,1,2,4,5,0
1,48,90,1,11.9,0,0,0,4,2,1
1,51,75,2,66.67,0,0,1,4,7,0
0,3,30,2,0.0,0,1,2,6,7,0
0,0,0,2,4.05,0,0,1,5,7,0
0,0,0,2,3.47,1,0,0,9,7,0
1,37,60,2,9.81,0,0,1,6,7,1
0,7,60,2,4.0,0,0,1,4,7,1
